College Code,College Name,City,Institute Type,Status,University,Home University,Branch Code,Branch Name,Seat Category,Closing Rank,Closing Percentile,Stage,Academic Year,CAP Round,PDF Page Number
05103,"Shri Shivaji Vidya Prasarak Sanstha'S Late Bapusaheb Shivaji Rao Deore College Of Engineering,Dhule",Dhule,Un-Aided,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0510319110,Civil Engineering,GOPENH,120714,58.4401523,Stage I,2025-26,1,1
05103,"Shri Shivaji Vidya Prasarak Sanstha'S Late Bapusaheb Shivaji Rao Deore College Of Engineering,Dhule",Dhule,Un-Aided,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0510319110,Civil Engineering,GSCH,202797,1.3900866,Stage I,2025-26,1,1
05103,"Shri Shivaji Vidya Prasarak Sanstha'S Late Bapusaheb Shivaji Rao Deore College Of Engineering,Dhule",Dhule,Un-Aided,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0510319110,Civil Engineering,GSTH,170514,29.5314685,Stage I,2025-26,1,1
05103,"Shri Shivaji Vidya Prasarak Sanstha'S Late Bapusaheb Shivaji Rao Deore College Of Engineering,Dhule",Dhule,Un-Aided,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0510319110,Civil Engineering,GVJH,129920,54.0903901,Stage I,2025-26,1,1
05103,"Shri Shivaji Vidya Prasarak Sanstha'S Late Bapusaheb Shivaji Rao Deore College Of Engineering,Dhule",Dhule,Un-Aided,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0510319110,Civil Engineering,GNT1H,163004,35.6771832,Stage I,2025-26,1,1
05103,"Shri Shivaji Vidya Prasarak Sanstha'S Late Bapusaheb Shivaji Rao Deore College Of Engineering,Dhule",Dhule,Un-Aided,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0510319110,Civil Engineering,GNT2H,136713,50.5909012,Stage I,2025-26,1,1
05103,"Shri Shivaji Vidya Prasarak Sanstha'S Late Bapusaheb Shivaji Rao Deore College Of Engineering,Dhule",Dhule,Un-Aided,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0510319110,Civil Engineering,GNT3H,121667,57.8195751,Stage I,2025-26,1,1
05103,"Shri Shivaji Vidya Prasarak Sanstha'S Late Bapusaheb Shivaji Rao Deore College Of Engineering,Dhule",Dhule,Un-Aided,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0510319110,Civil Engineering,GOBCH,140458,49.1540892,Stage I,2025-26,1,1
05103,"Shri Shivaji Vidya Prasarak Sanstha'S Late Bapusaheb Shivaji Rao Deore College Of Engineering,Dhule",Dhule,Un-Aided,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0510319110,Civil Engineering,GSEBCH,185853,18.4184219,Stage I,2025-26,1,1
05103,"Shri Shivaji Vidya Prasarak Sanstha'S Late Bapusaheb Shivaji Rao Deore College Of Engineering,Dhule",Dhule,Un-Aided,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0510319110,Civil Engineering,LOPENH,107975,63.8244514,Stage I,2025-26,1,1
