College Code,College Name,City,Institute Type,Status,University,Home University,Branch Code,Branch Name,Seat Category,Closing Rank,Closing Percentile,Stage,Academic Year,CAP Round,PDF Page Number
2508,Gramin Technical And Management Campus Nanded.,Pune,Un-Aided,Non-Autonomous,"Swami Ramanand Teerth Marathwada University, Nanded","Swami Ramanand Teerth Marathwada University, Nanded",250824210,Computer Science And Engineering,GOPENH,110947,62.918458,Stage I,2025-26,1,212
2508,Gramin Technical And Management Campus Nanded.,Pune,Un-Aided,Non-Autonomous,"Swami Ramanand Teerth Marathwada University, Nanded","Swami Ramanand Teerth Marathwada University, Nanded",250824210,Computer Science And Engineering,GSCH,128403,54.5872518,Stage I,2025-26,1,212
2508,Gramin Technical And Management Campus Nanded.,Pune,Un-Aided,Non-Autonomous,"Swami Ramanand Teerth Marathwada University, Nanded","Swami Ramanand Teerth Marathwada University, Nanded",250824210,Computer Science And Engineering,GVJH,115446,60.8775137,Stage I,2025-26,1,212
2508,Gramin Technical And Management Campus Nanded.,Pune,Un-Aided,Non-Autonomous,"Swami Ramanand Teerth Marathwada University, Nanded","Swami Ramanand Teerth Marathwada University, Nanded",250824210,Computer Science And Engineering,GNT1H,158628,38.3392226,Stage I,2025-26,1,212
2508,Gramin Technical And Management Campus Nanded.,Pune,Un-Aided,Non-Autonomous,"Swami Ramanand Teerth Marathwada University, Nanded","Swami Ramanand Teerth Marathwada University, Nanded",250824210,Computer Science And Engineering,GNT2H,116199,60.4378874,Stage I,2025-26,1,212
2508,Gramin Technical And Management Campus Nanded.,Pune,Un-Aided,Non-Autonomous,"Swami Ramanand Teerth Marathwada University, Nanded","Swami Ramanand Teerth Marathwada University, Nanded",250824210,Computer Science And Engineering,GNT3H,136352,50.7016833,Stage I,2025-26,1,212
2508,Gramin Technical And Management Campus Nanded.,Pune,Un-Aided,Non-Autonomous,"Swami Ramanand Teerth Marathwada University, Nanded","Swami Ramanand Teerth Marathwada University, Nanded",250824210,Computer Science And Engineering,GOBCH,140309,49.1540892,Stage I,2025-26,1,212
2508,Gramin Technical And Management Campus Nanded.,Pune,Un-Aided,Non-Autonomous,"Swami Ramanand Teerth Marathwada University, Nanded","Swami Ramanand Teerth Marathwada University, Nanded",250824210,Computer Science And Engineering,GSEBCH,124149,56.8426573,Stage I,2025-26,1,212
2508,Gramin Technical And Management Campus Nanded.,Pune,Un-Aided,Non-Autonomous,"Swami Ramanand Teerth Marathwada University, Nanded","Swami Ramanand Teerth Marathwada University, Nanded",250824210,Computer Science And Engineering,LOPENH,90989,71.0971787,Stage I,2025-26,1,212
2508,Gramin Technical And Management Campus Nanded.,Pune,Un-Aided,Non-Autonomous,"Swami Ramanand Teerth Marathwada University, Nanded","Swami Ramanand Teerth Marathwada University, Nanded",250824210,Computer Science And Engineering,LSCH,117923,59.9607019,Stage I,2025-26,1,212
