College Code,College Name,City,Institute Type,Status,University,Home University,Branch Code,Branch Name,Seat Category,Closing Rank,Closing Percentile,Stage,Academic Year,CAP Round,PDF Page Number
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517219110,Civil Engineering,GOPENS,106188,64.7148712,Stage I,2025-26,1,1
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517219110,Civil Engineering,LOPENS,96784,68.8687467,Stage I,2025-26,1,1
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517219110,Civil Engineering,TFWS,84374,73.5570613,Stage I,2025-26,1,1
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517224510,Computer Engineering,GOPENS,42681,87.3196408,Stage I,2025-26,1,1
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517224510,Computer Engineering,LOPENS,34999,89.7089209,Stage I,2025-26,1,1
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517224510,Computer Engineering,MI,197288,7.8234926,Stage I,2025-26,1,1
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517224510,Computer Engineering,TFWS,25664,92.52184,Stage I,2025-26,1,1
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517224610,Information Technology,GOPENS,53015,84.0903324,Stage I,2025-26,1,1
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517224610,Information Technology,LOPENS,50171,84.9728618,Stage I,2025-26,1,1
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517224610,Information Technology,MI,160863,36.1811489,Stage I,2025-26,1,1
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517224610,Information Technology,TFWS,36071,89.3412389,Stage I,2025-26,1,1
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517229310,Electrical Engineering,GOPENS,86642,72.6730266,Stage I,2025-26,1,1
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517229310,Electrical Engineering,LOPENS,82721,73.7482517,Stage I,2025-26,1,1
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517229310,Electrical Engineering,TFWS,60306,81.7705077,Stage I,2025-26,1,1
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517237210,Electronics And Telecommunication Engg,GOPENS,64805,80.3531469,Stage I,2025-26,1,2
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517237210,Electronics And Telecommunication Engg,LOPENS,60586,81.6453226,Stage I,2025-26,1,2
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517237210,Electronics And Telecommunication Engg,TFWS,45264,86.6223776,Stage I,2025-26,1,2
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517261210,Mechanical Engineering,GOPENS,94079,69.8498837,Stage I,2025-26,1,2
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517261210,Mechanical Engineering,LOPENS,100079,67.217709,Stage I,2025-26,1,2
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517261210,Mechanical Engineering,TFWS,57524,82.777662,Stage I,2025-26,1,2
05172,"R. C. Patel Institute Of Technology, Shirpur",Shirpur,Un-Aided Linguistic Minority - Gujarathi,Autonomous,Autonomous Institute,Autonomous Institute,0517291210,Computer Science And Engineering(Data Science),GOPENS,52976,84.0903324,Stage I,2025-26,1,2
