College Code,College Name,City,Institute Type,Status,University,Home University,Branch Code,Branch Name,Seat Category,Closing Rank,Closing Percentile,Stage,Academic Year,CAP Round,PDF Page Number
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350310,Food Technology,GOPENH,50447,85.9323432,Stage I,2025-26,1,1
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350310,Food Technology,GSCH,168034,36.1811489,Stage I,2025-26,1,1
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350310,Food Technology,GSTH,75293,78.5163287,Stage I,2025-26,1,1
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350310,Food Technology,GOBCH,69569,80.2182054,Stage I,2025-26,1,1
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350310,Food Technology,GSEBCH,140104,53.2228937,Stage I,2025-26,1,1
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350310,Food Technology,LOPENH,26955,92.7116827,Stage I,2025-26,1,1
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350310,Food Technology,LOBCH,38077,89.5766345,Stage I,2025-26,1,1
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350310,Food Technology,GNT2H,45402,87.412908,Stage I,2025-26,1,1
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350310,Food Technology,GOPENO,22350,93.9531228,Stage I,2025-26,1,1
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350310,Food Technology,GSCO,25421,93.1069159,Stage I,2025-26,1,1
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350310,Food Technology,GOBCO,30038,91.8224619,Stage I,2025-26,1,1
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350310,Food Technology,GSEBCO,61989,82.4532453,Stage I,2025-26,1,1
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350310,Food Technology,TFWS,19711,0.0,Stage I,2025-26,1,1
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350310,Food Technology,EWS,52675,85.2926232,Stage I,2025-26,1,1
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,GOPENH,99129,68.1117918,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,GSCH,201824,2.6991623,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,GVJH,113447,61.6834321,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,GNT1H,153193,41.4458186,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,GNT3H,196993,7.8975079,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,GOBCH,111865,62.1412608,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,GSEBCH,157869,39.230205,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,LOPENH,107861,64.2631037,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,LSTH,161188,36.1161649,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,LVJH,153825,40.6822054,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,LOBCH,130807,53.6771201,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,GSCH,151699,42.7403863,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,GSTH,142809,47.1398578,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,GSEBCH,137347,50.4913264,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,LSCH,91085,71.0971787,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,LNT2H,174801,26.6274079,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,LSEBCH,125768,56.2929777,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,LSCH,151798,42.7403863,Stage II,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,GOPENO,40636,87.9466479,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,GSCO,70247,78.5512207,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,GSTO,95868,69.0979021,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,GOBCO,46416,86.2041018,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,GSEBCO,165093,33.465035,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,LOPENO,43140,87.2335313,Stage I,2025-26,1,2
05003,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",Jalgaon,University Department,Non-Autonomous,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",0500350710,Chemical Engineering,LSCO,63425,80.7807182,Stage I,2025-26,1,2
