College Code,College Name,City,Institute Type,Status,University,Home University,Branch Code,Branch Name,Seat Category,Closing Rank,Closing Percentile,Stage,Academic Year,CAP Round,PDF Page Number
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,GOPENS,5245,98.4709161,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,GSCS,16503,95.2509653,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,GSTS,41581,87.6831328,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,GVJS,7082,97.9640927,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,GNT2S,6625,98.0868006,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,GOBCS,6294,98.1869508,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,GSEBCS,7043,97.9718787,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,LOPENS,8000,97.7150819,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,LSCS,23694,93.1048951,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,LSTS,12982,96.308175,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,LVJS,34231,89.9712654,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,LNT1S,15920,95.4087502,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,LNT2S,13545,96.139486,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,LNT3S,20579,94.0166833,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,LOBCS,11502,96.684051,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,LSEBCS,9812,97.1954276,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,PWDOPENS,60252,81.7705077,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,PWDOBCS,85659,73.1347962,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,DEFOPENS,8957,97.4161284,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,DEFOBCS,30889,90.9306237,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,TFWS,5136,98.4934988,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,PWDROBCS,79612,75.210728,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,DEFROBCS,31655,90.668828,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301219110,Civil Engineering,EWS,14775,95.7536628,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,GOPENS,103,99.9522882,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,GSCS,3385,98.9825175,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,GSTS,8902,97.4543824,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,GVJS,2334,99.265671,Stage I,2025-26,1,1
